label,data_cpu_usage,ml_cpu_usage
vertex-2024-08-06 21:15:41.749596,95.51666666666668,59.69114285714288
vertex-2024-08-06 21:31:51.729299,94.725,58.993277310924384
vertex-2024-08-06 21:43:22.418006,85.46428571428574,57.89315068493153
vertex-2024-08-06 21:53:59.723652,94.7,58.764044943820245
vertex-2024-08-06 23:13:34.305689,84.75714285714287,59.27653631284917
vertex-2024-08-07 22:21:22.693324,88.20000000000002,59.83636363636364
vertex-2024-08-07 23:10:56.009227,87.41538461538462,58.673961218836574
vertex-2024-08-07 23:22:33.114872,93.9,60.93217391304349
vertex-2024-08-07 23:38:38.414626,92.24166666666667,59.686000000000014
vertex-2024-08-10 14:38:51.919169,91.4,61.25059171597634
vertex-2024-08-10 15:37:59.021407,85.9076923076923,61.038872403560845
vertex-2024-08-10 16:15:08.421850,92.23333333333332,60.23670520231215
vertex-2024-08-10 16:32:09.234805,88.925,60.46502890173412
vertex-2024-08-10 16:46:18.023698,92.23333333333333,59.575287356321844
