label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
cloud-2024-07-31 23:18:26.394831,8.79800009727478,292.7148,120.8086,273.7314999103546,392.3516,19.343800000000044
cloud-2024-08-01 00:19:16.487267,10.621700048446655,291.1211,119.1875,273.11469984054565,392.2812,18.031200000000013
cloud-2024-08-04 12:51:47.375251,17.697999954223633,292.4648,120.8437,269.71340012550354,392.1367,19.39840000000004
cloud-2024-08-04 13:01:35.635765,8.350000143051147,292.6328,120.46869999999998,271.09249997138977,393.7695,20.691399999999987
cloud-2024-08-04 13:12:31.303213,8.468000173568726,292.668,120.6407,270.7973999977112,390.7773,17.7851
cloud-2024-08-04 13:24:30.447901,8.641800165176392,292.8242,120.70700000000002,270.00669980049133,392.4609,19.3125
cloud-2024-08-04 13:34:20.734523,9.59500002861023,296.2578,124.22259999999996,270.7577998638153,397.1523,20.5976
cloud-2024-08-04 13:46:26.574211,8.336999893188477,291.8438,119.55859999999998,270.0773999691009,393.0195,20.8125
cloud-2024-08-04 13:56:07.975825,9.091099977493286,292.5352,120.53909999999996,271.0855000019073,392.9375,20.140600000000006
cloud-2024-08-04 14:05:40.115611,9.389699935913086,292.8008,120.68749999999996,269.757600069046,392.4336,19.371100000000013
cloud-2024-08-04 15:05:23.314429,8.853600025177002,292.2969,120.5664,272.4823999404907,392.168,18.121100000000013
cloud-2024-08-04 15:19:22.059209,8.644700050354004,291.9922,119.88280000000005,272.2154998779297,392.2812,20.19530000000003
cloud-2024-08-04 18:03:07.122496,12.407000064849854,292.418,121.50390000000002,251.83809995651245,391.6367,18.664000000000044
cloud-2024-08-04 18:46:01.563554,10.016700029373167,290.9648,118.66790000000005,250.3099000453949,391.1523,17.093700000000013
cloud-2024-08-04 19:00:03.589877,14.339800119400024,292.1836,120.83200000000002,270.1953001022339,391.7305,19.1719
cloud-2024-08-04 19:17:09.359214,7.941200017929077,292.7383,120.49609999999998,270.1103999614716,393.0352,20.0118
cloud-2024-08-05 19:22:46.578157,10.3717999458313,292.0234,120.98819999999998,269.00770020484924,391.6641,18.1993
cloud-2024-08-05 19:44:35.362966,8.740000009536743,291.9922,119.586,269.2874000072479,392.8438,20.48829999999998
cloud-2024-08-05 20:56:53.589815,8.851999998092651,292.9453,120.74609999999998,270.42809987068176,391.0039,17.941399999999987
cloud-2024-08-05 21:07:05.282956,9.48639988899231,293.3281,121.1953,270.4007000923157,392.4297,18.843800000000044
cloud-2024-08-05 21:20:34.623370,8.279299974441528,292.8906,120.5508,270.0747001171112,391.707,18.683600000000013
cloud-2024-08-05 21:32:48.965898,8.849200010299683,293.1172,120.82810000000003,270.9707999229431,391.0703,17.80079999999998
cloud-2024-08-05 21:46:48.190941,9.13100004196167,290.7734,118.46869999999998,271.2622001171112,391.2227,20.35159999999996
cloud-2024-08-05 22:14:56.522684,8.59089994430542,292.375,120.1133,271.0625,393.1133,20.43359999999996
cloud-2024-08-05 22:47:50.614336,8.88319993019104,292.5586,120.0508,271.62630009651184,393.3516,20.429700000000025
cloud-2024-08-06 18:29:42.875156,14.096499919891356,292.0391,120.53520000000005,270.6711001396179,390.9961,18.6719
cloud-2024-08-06 18:47:03.104070,7.959299802780151,292.6914,120.9219,267.0934998989105,392.3242,19.371100000000013
cloud-2024-08-06 18:56:28.925034,7.876999855041504,293.0547,120.74220000000004,268.38549995422363,392.6484,19.2695
cloud-2024-08-06 19:23:51.956279,8.480499982833862,293.0312,120.44920000000002,268.7915999889374,391.8984,18.48429999999996
cloud-2024-08-06 19:36:06.553035,8.883399963378906,293.1172,120.76170000000002,268.705500125885,391.1289,17.80079999999998
cloud-2024-08-06 19:51:02.075232,7.51449990272522,291.0664,118.65619999999998,269.2137999534607,390.2773,18.953100000000006
cloud-2024-08-06 20:08:42.751827,8.257499933242798,292.0234,119.80859999999998,278.1758999824524,390.9375,18.6875
cloud-2024-08-06 20:20:29.309651,8.110999822616577,292.0547,119.9961,270.8477001190185,391.1016,18.836000000000013
cloud-2024-08-06 20:47:10.283459,8.42770004272461,296.1758,124.17969999999995,270.24129986763,395.5547,19.054700000000025
cloud-2024-08-06 20:56:54.891631,7.836899995803833,292.7266,120.8008,269.5085999965668,392.4297,19.378900000000044
cloud-2024-08-06 21:07:31.174589,9.751699924468994,292.6094,120.43359999999998,269.35640001297,391.5625,18.558600000000013
cloud-2024-08-06 21:28:08.384783,7.995500087738037,291.6406,119.1562,269.2744998931885,392.7969,18.0625
cloud-2024-08-06 21:38:35.651301,8.021399974822998,292.8086,120.3984,271.2111999988556,392.918,18.183600000000013
cloud-2024-08-06 21:49:28.103329,7.774199962615967,292.4727,120.60159999999996,269.58240008354187,391.3086,18.57420000000002
cloud-2024-08-06 23:11:47.418901,8.84149980545044,291.4648,119.53510000000004,282.1132001876831,392.8984,21.10929999999996
cloud-2024-08-06 23:21:36.214043,8.121500015258789,291.7148,119.26560000000003,272.33109998703003,392.8086,18.093799999999987
cloud-2024-08-07 21:03:00.984788,13.02679991722107,293.832,120.80079999999998,270.2465000152588,392.0977,17.98829999999998
cloud-2024-08-10 14:35:37.585872,8.21779990196228,296.4102,119.58209999999995,279.04819989204407,396.707,20.1445
cloud-2024-08-10 15:37:16.946376,8.635999917984009,297.7383,120.55079999999998,345.08150005340576,397.3438,19.3399
cloud-2024-08-10 16:11:54.622158,8.11299991607666,295.9688,119.68759999999996,343.0917000770569,381.957,30.163999999999987
cloud-2024-08-10 16:28:58.616463,10.325200080871582,298.0273,120.74210000000002,345.7377998828888,395.8281,17.640600000000006
cloud-2024-08-10 16:42:55.885298,9.038000106811523,297.0664,120.48829999999998,346.4623999595642,397.5312,20.226499999999987
cloud-2024-08-10 16:56:17.211093,8.92330002784729,300.3867,123.1836,357.87630009651184,401.1172,20.47270000000003
cloud-2024-08-10 17:47:28.469022,8.507400035858154,297.2422,120.01170000000002,346.72640013694763,395.9062,18.35930000000002
cloud-2024-08-10 18:02:09.780798,8.404299974441528,296.9648,120.39060000000003,345.3269000053406,396.8477,17.933599999999956
cloud-2024-08-10 18:56:29.222943,12.1735999584198,296.4414,120.64059999999998,343.35900020599365,396.5781,18.277300000000025
cloud-2024-08-10 21:45:47.431221,20.144699811935425,296.8359,120.66009999999996,365.2544000148773,395.6016,18.32820000000004
cloud-2024-08-10 21:57:16.105368,8.687900066375732,297.1055,120.6211,401.0370001792908,397.4102,20.03519999999997
cloud-2024-08-10 22:10:57.602107,9.641200065612791,296.5898,119.33200000000002,346.00870013237,397.5352,17.9024
cloud-2024-08-10 22:31:14.399369,8.615799903869629,296.1328,119.49609999999998,345.7702000141144,397.25,20.85160000000002
cloud-2024-08-11 14:41:07.463959,9.25600004196167,296.9727,120.17579999999998,288.67919993400574,397.2812,18.11320000000001
cloud-2024-08-11 14:53:03.552121,8.921000003814697,296.5273,119.83590000000004,287.68530011177063,395.4844,18.683600000000013
cloud-2024-08-11 15:34:52.126577,11.646399974822998,296.3438,120.54299999999998,344.7965998649597,395.1602,18.343799999999987
cloud-2024-08-11 15:47:35.360904,8.321300029754639,295.4375,118.4023,345.8399999141693,395.75,20.16019999999997
