label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
vertex_cpu-2024-08-06 21:11:00.732816,1.1563999652862549,256.0508,80.01959999999997,276.69600009918213,372.8867,36.703100000000006
vertex_cpu-2024-08-06 21:27:04.991623,1.2842001914978027,256.9219,80.1055,274.6953001022339,378.7891,34.546899999999994
vertex_cpu-2024-08-06 21:38:38.881176,1.215399980545044,253.5469,77.66409999999999,275.1805000305176,368.5469,34.61329999999998
vertex_cpu-2024-08-06 21:49:17.696060,1.300800085067749,256.0078,80.03509999999997,276.1926000118256,377.668,34.53129999999999
vertex_cpu-2024-08-06 23:08:51.251314,1.1877999305725098,256.1406,80.1054,274.3583998680115,377.9258,34.72659999999996
vertex_cpu-2024-08-07 22:16:40.313566,1.1866998672485352,255.6133,80.37890000000002,270.2273998260498,377.1641,34.64070000000004
vertex_cpu-2024-08-07 23:06:13.897908,1.190999984741211,255.7383,80.0821,273.27699995040894,377.2344,34.70319999999998
