label,data_cpu_usage,ml_cpu_usage
cloud-2024-07-31 23:23:14.423766,46.133333333333326,59.94626038781164
cloud-2024-08-01 00:24:05.704756,42.42000000000001,58.61739130434783
cloud-2024-08-04 12:56:44.549202,38.66666666666666,60.419667590027714
cloud-2024-08-04 13:06:21.860549,40.60178571428571,60.46022727272728
cloud-2024-08-04 13:17:16.706925,43.40196078431372,59.922408963585454
cloud-2024-08-04 13:29:16.359302,44.18627450980392,59.89578651685394
cloud-2024-08-04 13:39:07.846513,40.23392857142857,60.405932203389824
cloud-2024-08-04 13:51:11.428557,45.664,60.74318181818182
cloud-2024-08-04 14:00:55.225243,40.6,60.94050991501416
cloud-2024-08-04 14:10:25.647879,41.338181818181816,60.77110481586403
cloud-2024-08-04 15:10:13.231192,41.1,59.283701657458565
cloud-2024-08-04 15:24:09.984904,43.32727272727273,59.201652892562
cloud-2024-08-04 18:07:33.511366,42.098,72.84528301886793
cloud-2024-08-04 19:04:49.401884,39.52678571428572,61.262571428571455
cloud-2024-08-04 19:21:53.678920,45.385714285714286,59.47486033519555
cloud-2024-08-05 19:27:31.157373,44.3530612244898,63.59253731343284
cloud-2024-08-05 19:49:17.231419,41.80769230769231,64.84311926605506
cloud-2024-08-05 21:01:40.628557,43.443396226415096,60.338636363636375
cloud-2024-08-05 21:11:51.292763,40.77857142857143,60.56450704225352
cloud-2024-08-05 21:25:20.112304,44.18235294117647,60.31813031161474
cloud-2024-08-05 21:37:35.291637,44.76470588235294,60.50880681818182
cloud-2024-08-05 21:51:34.060451,42.47222222222222,60.62028169014086
cloud-2024-08-05 22:08:35.818750,47.35074626865672,50.1736577181208
cloud-2024-08-05 22:09:53.435629,45.5376811594203,51.89953161592508
cloud-2024-08-05 22:19:43.355923,42.41636363636363,60.89803921568629
cloud-2024-08-05 22:52:36.687455,43.44905660377359,59.80865921787712
cloud-2024-08-06 18:34:28.277446,42.95769230769231,61.83264705882353
cloud-2024-08-06 18:51:45.208461,40.451851851851856,63.83211009174314
cloud-2024-08-06 19:01:14.417318,39.88245614035088,62.12616279069769
cloud-2024-08-06 19:28:34.145567,45.062,62.45946745562131
cloud-2024-08-06 19:40:49.549293,45.371428571428574,62.1935103244838
cloud-2024-08-06 19:55:45.337558,44.17450980392156,61.01037463976946
cloud-2024-08-06 20:13:27.507376,43.7153846153846,61.1580459770115
